1: small
2: large
3: XXXlarge
4: Custom Test Data
5: Pokemon Dataset
3
What dataset file do you want to use?
Enter a valid number from 1-24:
10
Datasets/CS170_XXXlarge_Data__10.txt
Type the number of the algorithm you want to run.
1. Forward Selection
2. Backwards Elimination
1

prevBestAccuracy = 0
Using Features(s) {78} while considering 31, the accuracy is 85.1%
Using Features(s) {78} while considering 32, the accuracy is 83.9%
Using Features(s) {78} while considering 33, the accuracy is 84.65%
Using Features(s) {78} while considering 34, the accuracy is 84.17%
Using Features(s) {78} while considering 35, the accuracy is 84.57%
Using Features(s) {78} while considering 36, the accuracy is 85.3%
Using Features(s) {78} while considering 37, the accuracy is 84.47%
Using Features(s) {78} while considering 38, the accuracy is 84.15%
Using Features(s) {78} while considering 39, the accuracy is 84.62%
Using Features(s) {78} while considering 40, the accuracy is 84.65%
Using Features(s) {78} while considering 41, the accuracy is 84.2%
Using Features(s) {78} while considering 42, the accuracy is 84.12%
Using Features(s) {78} while considering 43, the accuracy is 84.5%
Using Features(s) {78} while considering 44, the accuracy is 83.95%
Using Features(s) {78} while considering 45, the accuracy is 84.52%
Using Features(s) {78} while considering 46, the accuracy is 84.02%
Using Features(s) {78} while considering 47, the accuracy is 84.47%
Using Features(s) {78} while considering 48, the accuracy is 83.97%
Using Features(s) {78} while considering 49, the accuracy is 83.62%
Using Features(s) {78} while considering 50, the accuracy is 84.02%
Using Features(s) {78} while considering 51, the accuracy is 84.75%
Using Features(s) {78} while considering 52, the accuracy is 85.47%
Using Features(s) {78} while considering 53, the accuracy is 84.25%
Using Features(s) {78} while considering 54, the accuracy is 85.62%
Using Features(s) {78} while considering 55, the accuracy is 85.55%
Using Features(s) {78} while considering 56, the accuracy is 84.62%
Using Features(s) {78} while considering 57, the accuracy is 83.8%
Using Features(s) {78} while considering 58, the accuracy is 97.47%
Using Features(s) {78} while considering 59, the accuracy is 84%
Using Features(s) {78} while considering 60, the accuracy is 84.65%
Using Features(s) {78} while considering 61, the accuracy is 83.92%
Using Features(s) {78} while considering 62, the accuracy is 83.92%
Using Features(s) {78} while considering 63, the accuracy is 83.6%
Using Features(s) {78} while considering 64, the accuracy is 84.2%
Using Features(s) {78} while considering 65, the accuracy is 84.15%
Using Features(s) {78} while considering 66, the accuracy is 84.97%
Using Features(s) {78} while considering 67, the accuracy is 84.2%
Using Features(s) {78} while considering 68, the accuracy is 85.02%
Using Features(s) {78} while considering 69, the accuracy is 83.42%
Using Features(s) {78} while considering 70, the accuracy is 84.77%
Using Features(s) {78} while considering 71, the accuracy is 83.8%
Using Features(s) {78} while considering 72, the accuracy is 83.97%
Using Features(s) {78} while considering 73, the accuracy is 83.92%
Using Features(s) {78} while considering 74, the accuracy is 84.55%
Using Features(s) {78} while considering 75, the accuracy is 83.65%
Using Features(s) {78} while considering 76, the accuracy is 84%
Using Features(s) {78} while considering 77, the accuracy is 83.47%
Using Features(s) {78} while considering 79, the accuracy is 83.87%
Using Features(s) {78} while considering 80, the accuracy is 84.6%
For level 2, the index chosen is 58 with an accuracy of 97.47%
The current feature list is: {58, 78}


prevBestAccuracy = 97.47
Using Features(s) {58, 78} while considering 1, the accuracy is 94.65%
Using Features(s) {58, 78} while considering 2, the accuracy is 95.2%
Using Features(s) {58, 78} while considering 3, the accuracy is 95.22%
Using Features(s) {58, 78} while considering 4, the accuracy is 95.02%
Using Features(s) {58, 78} while considering 5, the accuracy is 94.6%
Using Features(s) {58, 78} while considering 6, the accuracy is 94.85%
Using Features(s) {58, 78} while considering 7, the accuracy is 94.97%
Using Features(s) {58, 78} while considering 8, the accuracy is 95.2%
Using Features(s) {58, 78} while considering 9, the accuracy is 94.5%
Using Features(s) {58, 78} while considering 10, the accuracy is 95.35%
Using Features(s) {58, 78} while considering 11, the accuracy is 94.67%
Using Features(s) {58, 78} while considering 12, the accuracy is 94.62%
Using Features(s) {58, 78} while considering 13, the accuracy is 94.95%
Using Features(s) {58, 78} while considering 14, the accuracy is 95.37%
Using Features(s) {58, 78} while considering 15, the accuracy is 94.67%
Using Features(s) {58, 78} while considering 16, the accuracy is 94.62%
Using Features(s) {58, 78} while considering 17, the accuracy is 95%
Using Features(s) {58, 78} while considering 18, the accuracy is 95.3%
Using Features(s) {58, 78} while considering 19, the accuracy is 95.15%
Using Features(s) {58, 78} while considering 20, the accuracy is 94.77%
Using Features(s) {58, 78} while considering 21, the accuracy is 95.1%
Using Features(s) {58, 78} while considering 22, the accuracy is 95.12%
Using Features(s) {58, 78} while considering 23, the accuracy is 95.22%
Using Features(s) {58, 78} while considering 24, the accuracy is 94.9%
Using Features(s) {58, 78} while considering 25, the accuracy is 94.55%
Using Features(s) {58, 78} while considering 26, the accuracy is 96.92%
Using Features(s) {58, 78} while considering 27, the accuracy is 95.12%
Using Features(s) {58, 78} while considering 28, the accuracy is 94.9%
Using Features(s) {58, 78} while considering 29, the accuracy is 94.92%
Using Features(s) {58, 78} while considering 30, the accuracy is 94.87%
Using Features(s) {58, 78} while considering 31, the accuracy is 94.95%
Using Features(s) {58, 78} while considering 32, the accuracy is 94.75%
Using Features(s) {58, 78} while considering 33, the accuracy is 94.17%
Using Features(s) {58, 78} while considering 34, the accuracy is 94.9%
Using Features(s) {58, 78} while considering 35, the accuracy is 94.67%
Using Features(s) {58, 78} while considering 36, the accuracy is 95%
Using Features(s) {58, 78} while considering 37, the accuracy is 95.72%
Using Features(s) {58, 78} while considering 38, the accuracy is 94.87%
Using Features(s) {58, 78} while considering 39, the accuracy is 94.8%
Using Features(s) {58, 78} while considering 40, the accuracy is 95.22%
Using Features(s) {58, 78} while considering 41, the accuracy is 94.82%
Using Features(s) {58, 78} while considering 42, the accuracy is 95.4%
Using Features(s) {58, 78} while considering 43, the accuracy is 95.15%
Using Features(s) {58, 78} while considering 44, the accuracy is 94.95%
Using Features(s) {58, 78} while considering 45, the accuracy is 94.87%
Using Features(s) {58, 78} while considering 46, the accuracy is 94.97%
Using Features(s) {58, 78} while considering 47, the accuracy is 95.52%
Using Features(s) {58, 78} while considering 48, the accuracy is 95.45%
Using Features(s) {58, 78} while considering 49, the accuracy is 94.67%
Using Features(s) {58, 78} while considering 50, the accuracy is 94.9%
Using Features(s) {58, 78} while considering 51, the accuracy is 94.72%
Using Features(s) {58, 78} while considering 52, the accuracy is 94.85%
Using Features(s) {58, 78} while considering 53, the accuracy is 95.12%
Using Features(s) {58, 78} while considering 54, the accuracy is 94.92%
Using Features(s) {58, 78} while considering 55, the accuracy is 94.97%
Using Features(s) {58, 78} while considering 56, the accuracy is 95.07%
Using Features(s) {58, 78} while considering 57, the accuracy is 95.45%
Using Features(s) {58, 78} while considering 59, the accuracy is 95.17%
Using Features(s) {58, 78} while considering 60, the accuracy is 94.82%
